year,state,total_votes,dem,rep,other
1988,LA,1628202,0.4406455710040890,0.5427471529945300,0.016607276001380700
1988,MA,2632801,0.5322905149306770,0.4537505873022690,0.013958897767054900
1988,MD,1714358,0.48199034274054800,0.511075866300971,0.006919791548789690
1988,ME,555035,0.4388353887592670,0.5533542929725150,0.00781031826821732
1988,MI,3669163,0.4567207834593340,0.5356769377648250,0.007602278775840700
1988,MN,2096790,0.5291283342633260,0.4589572632452460,0.01019081548462170
1988,MO,2093228,0.4785044916272860,0.5183157305367600,0.0031797778359548000
1988,MS,931527,0.39067144591622100,0.5988983679485410,0.010430186135238200
1988,MT,365674,0.46198526556441000,0.5207151725307240,0.017299561904866100
1988,NC,2134370,0.41706311464272800,0.5796829977932600,0.002662143864465860
1988,ND,297261,0.429720010361265,0.5603123181312050,0.00996767150753042
1988,NE,661465,0.39191038074576900,0.6016282040621950,0.00646141519203586
1988,NH,450525,0.36334498640475,0.624908717607236,0.011746295988014000
1988,NJ,3099553,0.4259814237730410,0.5624010946094490,0.011617481617510700
1988,NM,521387,0.4689357425482420,0.5185035300074610,0.01238235705915180
1988,NV,343133,0.38684125397440600,0.6004668743606710,0.012691871664922900
1988,NY,6485683,0.5161957499310400,0.47518064018855100,0.008623609880408890
1988,OH,4393585,0.4414684136075670,0.5500175824525990,0.008434342342301330
1988,OK,1171036,0.41281651460757800,0.5792879125833880,0.007895572809034050
1988,OR,1201694,0.5127811239799820,0.4661136695365040,0.021105206483514100
1988,PA,4536251,0.48386740504438600,0.5070457961872040,0.0090867987684103000
1988,RI,404622,0.5563785459021010,0.43932608706397600,0.004164380582370710
1988,SC,986009,0.37581198548897600,0.6150481385058350,0.009139876005188590
1988,SD,312991,0.4650612956922080,0.5284976245323350,0.006441079775456800
1988,TN,1636250,0.4154585179526360,0.5789048128342250,0.0054624904507257400
1988,TX,5427410,0.433493692203095,0.559535579585843,0.0069209807256131400
1988,UT,647008,0.320464352836441,0.6621896483505610,0.017345998812997700
1988,VA,2191609,0.3923140487194570,0.5973519911626570,0.010333960117886000
1988,VT,243328,0.47579809968437700,0.510960514203051,0.01324138611257230
1988,WA,1865253,0.5004768790078340,0.48456429235068900,0.014958828641476500
1988,WI,2191608,0.5141403024628490,0.47795910582549400,0.007900591711656470
1988,WV,653311,0.5219811085378940,0.47460550947404800,0.003413381988057760
1988,WY,176551,0.3801337857049800,0.6053038498790720,0.0145623644159478
1992,AK,258506,0.3028711132430200,0.3945749808515080,0.3011419464151700
1992,AL,1688060,0.4088006350485170,0.4764540359939810,0.1143170266459720
1992,AR,950653,0.5320795284925200,0.3548339930553000,0.11308647845218000
1992,AZ,1486975,0.3652045259671480,0.38473141781132800,0.25005867617142200
1992,CA,11131721,0.46006587840280900,0.32614669375921300,0.21339494584889400
1992,CO,1569180,0.40128028651907400,0.35869052626212400,0.24002918721880200
1992,CT,1616156,0.42218572959541000,0.35783241221763200,0.2199818581869570
1992,DC,227572,0.8464090485648500,0.09095143515019420,0.05966902782416110
1992,DE,289620,0.43523927905531400,0.35326634900904600,0.2114943719356400
1992,FL,5313392,0.3899012156452980,0.4090249693604390,0.20102902251518400
1992,GA,2321133,0.4346868533599760,0.4287785318635340,0.13647085281196700
