"","cycle","state","state_abb","party","vote_share","total_votes"
"440",1984,"Pennsylvania","PA","rep",0.533410679223093,2584323
"441",1984,"Pennsylvania","PA","other",0.00669755410995845,32449
"442",1984,"Rhode Island","RI","dem",0.480173646553257,197106
"443",1984,"Rhode Island","RI","rep",0.516652090555411,212080
"444",1984,"Rhode Island","RI","other",0.00317426289133205,1303
"445",1984,"South Carolina","SC","dem",0.355651715126754,344459
"446",1984,"South Carolina","SC","rep",0.635540081918043,615539
"447",1984,"South Carolina","SC","other",0.0088082029552032,8531
"448",1984,"South Dakota","SD","dem",0.365287997810405,116113
"449",1984,"South Dakota","SD","rep",0.630033945014739,200267
"450",1984,"South Dakota","SD","other",0.00467805717485615,1487
"451",1984,"Tennessee","TN","dem",0.415722494192441,711714
"452",1984,"Tennessee","TN","rep",0.578397224755008,990212
"453",1984,"Tennessee","TN","other",0.00588028105255103,10067
"454",1984,"Texas","TX","dem",0.361139482926672,1949276
"455",1984,"Texas","TX","rep",0.636106129961051,3433428
"456",1984,"Texas","TX","other",0.00275438711227699,14867
"457",1984,"Utah","UT","dem",0.246752194849251,155369
